Judet,PPP
Alba,7045
Arad,9188
Argeș,11436
Bacău,8391
Bihor,9759
Bistrița-Năsăud,4476
Botoșani,4140
Brăila,4614
Brașov,14056
Bucharest,107199
Buzău,6144
Călărași,3921
Caraș-Severin,4577
Cluj,18713
Constanța,19673
Covasna,3052
Dâmbovița,7565
Dolj,10367
Galați,7557
Giurgiu,3977
Gorj,6789
Harghita,4412
Hunedoara,6528
Ialomița,3964
Iași,13054
Ilfov,107199
Maramureș,7240
Mehedinți,3079
Mureș,9330
Neamț,5830
Olt,5169
Prahova,16868
Sălaj,3644
Satu Mare,5153
Sibiu,9287
Suceava,7664
Teleorman,4217
Timiș,32168
Tulcea,3305
Vâlcea,5859
Vaslui,3767
Vrancea,4374